,Address,Area,Baths,Beds,City,Half-Baths,Price
387,12025 Wandsworth Drive,"3,175 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33626,1 half bath,"$549,900"
388,3014 Sabal Road,"2,778 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33618,,"$449,978"
389,16601 Mandy Lane,"2,044 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33618,,"$220,000"
390,8013 Tierra Verde Drive,"2,002 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33617,,"$221,000"
391,8013 Tierra Verde Drive,"2,002 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33617,,"$221,000"
392,20201 Still Wind Drive,"2,563 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33647,1 half bath,"$213,750"
393,Glenna Ave,,,,Tampa FL 33635,,"$198,000"
394,1501 Bayshore Boulevard,"7,700 sq. ft",Baths 6 baths,Beds 6 beds,Tampa FL 33606,1 half bath,"$3,595,000"
395,207 N New Jersey Avenue,"2,919 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33609,,"$592,240"
396,4810 Mcelroy Avenue 14,"1,988 sq. ft",Baths 3 baths,Beds 3 beds,Tampa FL 33611,1 half bath,"$440,950"
397,10243 Garden Alcove Drive,"3,110 sq. ft",Baths 3 baths,Beds 6 beds,Tampa FL 33647,1 half bath,"$315,000"
398,10243 Garden Alcove Drive,"3,110 sq. ft",Baths 3 baths,Beds 6 beds,Tampa FL 33647,1 half bath,"$315,000"
399,10844 Barbados Isle Drive,"3,920 sq. ft",Baths 4 baths,Beds 5 beds,Tampa FL 33647,,"$660,000"
400,3414 Ehrlich Road,"5,321 sq. ft",Baths 4 baths,Beds 4 beds,Tampa FL 33618,,"$699,000"
401,9919 E Sligh Avenue,"1,654 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33610,,"$600,000"
402,915 Guisando De Avila,"4,188 sq. ft",Baths 4 baths,Beds 4 beds,Tampa FL 33613,1 half bath,"$889,000"
403,3905 W Pearl Avenue,"2,090 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33611,,"$324,000"
404,5813 Galleon Way,"2,017 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33615,1 half bath,"$549,900"
405,16603 Villalenda De Avila,"6,760 sq. ft",Baths 5 baths,Beds 5 beds,Tampa FL 33613,1 half bath,"$1,950,000"
406,6139 E Native Woods Drive E,"2,875 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33625,,"$379,000"
407,6139 E Native Woods Drive E,"2,875 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33625,,"$379,000"
408,4041 Gauge Line Loop,"1,678 sq. ft",Baths 3 baths,Beds 3 beds,Tampa FL 33618,,"$313,151"
409,4112 Gauge Line Loop,"1,412 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33618,,"$276,611"
410,E Sligh Ave,"136,778 sq. ft",,,Tampa FL 33610,,"$155,000"
411,8702 Cove Court Unit NA,"1,215 sq. ft",Baths 1 bath,Beds 2 beds,Tampa FL 33615,1 half bath,"$141,000"
412,16609 Villalenda De Avila,"6,751 sq. ft",Baths 6 baths,Beds 6 beds,Tampa FL 33613,1 half bath,"$2,449,000"
413,16609 Villalenda De Avila,"6,751 sq. ft",Baths 6 baths,Beds 6 beds,Tampa FL 33613,1 half bath,"$2,449,000"
414,17943 Cachet Isle Drive,"7,247 sq. ft",Baths 7 baths,Beds 6 beds,Tampa FL 33647,,"$1,490,000"
415,17943 Cachet Isle Drive,"7,247 sq. ft",Baths 7 baths,Beds 6 beds,Tampa FL 33647,,"$1,490,000"
416,2708 N Dundee Street,"3,191 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33629,1 half bath,"$665,000"
417,4045 Gauge Line Loop,"1,412 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33618,,"$278,578"
418,3672 W Broad Street,,,,Tampa FL 33614,,"$300,000"
419,4521 S Gaines Rd,"1,431 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33611,,"$249,900"
